 TIME                    	GasUsage                 	heating_signal           	setpoint                 	Tin                      	occ                      	
 HOURS              	kJ/hr               	NAV                 	NAV                 	NAV                 	NAV                 	
  +9.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.0000000000000000E+01	  +2.2604518259611581E+01	  +0.0000000000000000E+00	
  +9.1666666666666661E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9999999999999986E+01	  +2.2572576371830007E+01	  +0.0000000000000000E+00	
  +9.3333333333333339E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000014E+01	  +2.2551957996886458E+01	  +0.0000000000000000E+00	
  +9.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9999999999999986E+01	  +2.2526190842702221E+01	  +0.0000000000000000E+00	
  +9.6666666666666661E+00	  +5.8494469905935111E+04	  +1.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2500881028221134E+01	  +0.0000000000000000E+00	
  +9.8333333333333339E+00	  +5.7459412288492000E+04	  +1.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2607341729214678E+01	  +0.0000000000000000E+00	
  +1.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1000000000000000E+01	  +2.2821278243962588E+01	  +0.0000000000000000E+00	
  +1.0166666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2875367478190881E+01	  +0.0000000000000000E+00	
  +1.0333333333333334E+01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.2892432319235830E+01	  +1.0000000000000000E+00	
  +1.0500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999993E+01	  +2.3072135092510738E+01	  +1.0000000000000000E+00	
