 TIME                    	Tin                      	Tout                     	Gas                      	signal                   	elec                     	RHin                     	RHout                    	occ                      	rwt                      	swt                      	setpoint                 	
 HOURS              	NAV                 	øC                  	kJ/hr               	NAV                 	NAV                 	NAV                 	%                   	NAV                 	NAV                 	øC                  	NAV                 	
  +3.8333333333333335E+00	  +1.9561402679058883E+01	  +4.0499999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3400000000000000E+02	  +4.6983660726652744E+01	  +8.0750000000000000E+01	  +1.0000000000000000E+00	  +1.9624958104506369E+01	  +1.9624958104506369E+01	  +6.0000000000000000E+01	
  +4.0000000000000000E+00	  +1.9507498792829306E+01	  +4.0166666666666675E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0340000000000009E+02	  +4.6883489063095453E+01	  +8.0916666666666657E+01	  +1.0000000000000000E+00	  +1.9629339243525756E+01	  +1.9629339243525756E+01	  +7.5000000000000000E+01	
  +4.1666666666666670E+00	  +1.9430237493319286E+01	  +3.9833333333333329E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.6020000000000010E+02	  +4.6859194991926870E+01	  +8.1083333333333343E+01	  +1.0000000000000000E+00	  +1.9634647849727951E+01	  +1.9634647849727951E+01	  +5.0000000000000000E+01	
  +4.3333333333333330E+00	  +1.9423577276601101E+01	  +3.9500000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.9439999999999981E+02	  +4.6637034859435936E+01	  +8.1250000000000000E+01	  +1.0000000000000000E+00	  +1.9636717932343974E+01	  +1.9636717932343974E+01	  +5.5000000000000000E+01	
  +4.5000000000000000E+00	  +1.9464126614490109E+01	  +3.9166666666666674E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.1499999999999989E+02	  +4.6286889965244391E+01	  +8.1416666666666657E+01	  +1.0000000000000000E+00	  +1.9640886205298681E+01	  +1.9640886205298681E+01	  +5.0000000000000000E+01	
  +4.6666666666666670E+00	  +1.9512538698479112E+01	  +3.8833333333333329E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.7079999999999978E+02	  +4.5923795373374340E+01	  +8.1583333333333343E+01	  +1.0000000000000000E+00	  +1.9643627422890393E+01	  +1.9643627422890393E+01	  +5.0000000000000000E+01	
  +4.8333333333333330E+00	  +1.9513777095291243E+01	  +3.8500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.1680000000000001E+02	  +4.5704038904845774E+01	  +8.1750000000000000E+01	  +1.0000000000000000E+00	  +1.9647555154405026E+01	  +1.9647555154405026E+01	  +6.0000000000000000E+01	
  +5.0000000000000000E+00	  +1.9445942801110917E+01	  +3.8166666666666673E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.9700000000000000E+02	  +4.5687592315234085E+01	  +8.1916666666666657E+01	  +1.0000000000000000E+00	  +1.9650938735461487E+01	  +1.9650938735461487E+01	  +5.5000000000000000E+01	
  +5.1666666666666670E+00	  +1.9394535705006358E+01	  +3.7750000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.1499999999999983E+02	  +4.5631130522306428E+01	  +8.2166666666666657E+01	  +1.0000000000000000E+00	  +1.9654566018666994E+01	  +1.9654566018666994E+01	  +5.0000000000000000E+01	
  +5.3333333333333330E+00	  +1.9383812277190998E+01	  +3.7250000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.7360000000000014E+02	  +4.5466305169606919E+01	  +8.2500000000000000E+01	  +1.0000000000000000E+00	  +1.9655166004684538E+01	  +1.9655166004684538E+01	  +6.0000000000000000E+01	
